id,town,address,video,,,
010300042,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, VІІ-МО СУ""КУЗМАН ШАПКАРЕВ"", УЛ.""ИЛИНДЕН"" №13",https://evideo.bg/pe202410/01.html#10300042,,,010300042
010300043,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, VІІ-МО СУ""КУЗМАН ШАПКАРЕВ"", УЛ.""ИЛИНДЕН"" №13",https://evideo.bg/pe202410/01.html#10300043,,,010300043
010300044,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ЕЗИКОВА ГИМНАЗИЯ""АКАД. ЛЮДМИЛ СТОЯНОВ"", УЛ.""МАРИЦА"" №4",https://evideo.bg/pe202410/01.html#10300044,,,010300044
010300045,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ЕЗИКОВА ГИМНАЗИЯ""АКАД. ЛЮДМИЛ СТОЯНОВ"", УЛ.""МАРИЦА"" №4",https://evideo.bg/pe202410/01.html#10300045,,,010300045
010300046,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ЕЗИКОВА ГИМНАЗИЯ""АКАД. ЛЮДМИЛ СТОЯНОВ"", УЛ.""МАРИЦА"" №4",https://evideo.bg/pe202410/01.html#10300046,,,010300046
010300047,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, БЛАГОЕВГРАДСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ, УЛ. ""ИВАН МИХАЙЛОВ"" №62",https://evideo.bg/pe202410/01.html#10300047,,,010300047
010300048,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ІІІ-ТО ОСН.У-ЩЕ""ДИМИТЪР ТАЛЕВ"", БУЛ.""СВ. СВ. КИРИЛ И МЕТОДИЙ"" №13",https://evideo.bg/pe202410/01.html#10300048,,,010300048
010300049,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ІІІ-ТО ОСН.У-ЩЕ""ДИМИТЪР ТАЛЕВ"", БУЛ.""СВ. СВ. КИРИЛ И МЕТОДИЙ"" №13",https://evideo.bg/pe202410/01.html#10300049,,,010300049
010300050,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ЕЗИКОВА ГИМНАЗИЯ""АКАД. ЛЮДМИЛ СТОЯНОВ"", УЛ.""МАРИЦА"" №4",https://evideo.bg/pe202410/01.html#10300050,,,010300050
010300051,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ЕЗИКОВА ГИМНАЗИЯ""АКАД. ЛЮДМИЛ СТОЯНОВ"", УЛ.""МАРИЦА"" №4",https://evideo.bg/pe202410/01.html#10300051,,,010300051
